"TARIM, ORMANCILIK VE BALIKÇILIK",,
164,MEKAG,MEKA GLOBAL MAKİNE İMALAT SANAYİ VE TİCARET A.Ş.
165,MNDRS,MENDERES TEKSTİL SANAYİ VE TİCARET A.Ş.
166,MERCN,MERCAN KİMYA SANAYİ VE TİCARET A.Ş.
167,MERKO,MERKO GIDA SANAYİ VE TİCARET A.Ş.
168,MNDTR,MONDİ TURKEY OLUKLU MUKAVVA KAĞIT VE AMBALAJ SANAYİ A.Ş.
169,NIBAS,NİĞBAŞ NİĞDE BETON SANAYİ VE TİCARET A.Ş.
170,NUHCM,NUH ÇİMENTO SANAYİ A.Ş.
171,OBAMS,OBA MAKARNACILIK SANAYİ VE TİCARET A.Ş.
172,OFSYM,OFİS YEM GIDA SANAYİ TİCARET A.Ş.
173,ONCSM,ONCOSEM ONKOLOJİK SİSTEMLER SANAYİ VE TİCARET A.Ş.
174,ORCAY,ORÇAY ORTAKÖY ÇAY SANAYİ VE TİCARET A.Ş.
175,ORMA,ORMA ORMAN MAHSÜLLERİ İNTEGRE SANAYİ VE TİCARET A.Ş.
176,OTKAR,OTOKAR OTOMOTİV VE SAVUNMA SANAYİ A.Ş.
177,OYAKC,OYAK ÇİMENTO FABRİKALARI A.Ş.
178,OYLUM,OYLUM SINAİ YATIRIMLAR A.Ş.
179,OZATD,ÖZATA DENİZCİLİK SANAYİ VE TİCARET A.Ş.
180,OZRDN,ÖZERDEN AMBALAJ SANAYİ A.Ş.
181,OZYSR,ÖZYAŞAR TEL VE GALVANİZLEME SANAYİ A.Ş.
182,PNLSN,PANELSAN ÇATI CEPHE SİSTEMLERİ SANAYİ VE TİCARET A.Ş.
183,PARSN,PARSAN MAKİNA PARÇALARI SANAYİİ A.Ş.
184,PENGD,PENGUEN GIDA SANAYİ A.Ş.
185,PETKM,PETKİM PETROKİMYA HOLDİNG A.Ş.
186,PETUN,PINAR ENTEGRE ET VE UN SANAYİİ A.Ş.
187,PINSU,PINAR SU VE İÇECEK SANAYİ VE TİCARET A.Ş.
188,PNSUT,PINAR SÜT MAMÜLLERİ SANAYİİ A.Ş.
189,POLTK,POLİTEKNİK METAL SANAYİ VE TİCARET A.Ş.
190,PRZMA,PRİZMA PRES MATBAACILIK YAYINCILIK SANAYİ VE TİCARET A.Ş.
191,QUAGR,QUA GRANITE HAYAL YAPI VE ÜRÜNLERİ SANAYİ TİCARET A.Ş.
